#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E234174798AA504-16A57280EAFA4661
#datatype	hitsFull Results
#status	0
#Start time	2021-08-15T00:37:16	Run time	0:00:00:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#42 - >pmp:Pmu_05700 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	26	283	2.77585e-94	280.083	pfam07922	Glyco_transf_52	 - 	cl40640
Q#42 - >pmp:Pmu_05700 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	26	283	2.77585e-94	280.083	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#42 - >pmp:Pmu_05700 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	26	283	2.77585e-94	280.083	pfam07922	Glyco_transf_52	 - 	cl40640
Q#43 - >pmul:DR93_1283 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase 52 family protein (A)	specific	400326	26	283	2.77585e-94	280.083	pfam07922	Glyco_transf_52	 - 	cl40640
Q#43 - >pmul:DR93_1283 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase 52 family protein (A)	superfamily	424271	26	283	2.77585e-94	280.083	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#43 - >pmul:DR93_1283 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase 52 family protein (A)	non-specific	400326	26	283	2.77585e-94	280.083	pfam07922	Glyco_transf_52	 - 	cl40640
Q#44 - >pdag:4362423_00864 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	1.23978e-73	227.311	pfam07922	Glyco_transf_52	 - 	cl40640
Q#44 - >pdag:4362423_00864 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	1.23978e-73	227.311	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#45 - >mht:D648_25815 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#45 - >mht:D648_25815 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#46 - >mht:D648_4300 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#46 - >mht:D648_4300 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#47 - >mhq:D650_23850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#47 - >mhq:D650_23850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#48 - >mhq:D650_27760 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#48 - >mhq:D650_27760 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#49 - >mhat:B824_18180 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	1.82266e-69	216.911	pfam07922	Glyco_transf_52	 - 	cl40640
Q#49 - >mhat:B824_18180 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	1.82266e-69	216.911	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#50 - >mhx:MHH_c09750 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst1; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase Ist (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#50 - >mhx:MHH_c09750 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst1; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase Ist (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#51 - >mhx:MHH_c26630 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst2; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase Ist (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#51 - >mhx:MHH_c26630 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst2; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase Ist (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#52 - >mhae:F382_04070 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#52 - >mhae:F382_04070 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#53 - >mhae:F382_10005 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#53 - >mhae:F382_10005 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#54 - >mham:J450_03100 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	non-specific	400326	25	285	1.26116e-69	217.296	pfam07922	Glyco_transf_52	 - 	cl40640
Q#54 - >mham:J450_03100 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	superfamily	424271	25	285	1.26116e-69	217.296	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#55 - >mhao:J451_04310 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#55 - >mhao:J451_04310 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#56 - >mhao:J451_10225 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#56 - >mhao:J451_10225 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#57 - >mhal:N220_02100 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#57 - >mhal:N220_02100 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#58 - >mhal:N220_10170 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#58 - >mhal:N220_10170 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2 3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#59 - >mhaq:WC39_04035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#59 - >mhaq:WC39_04035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#60 - >mhaq:WC39_11740 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#60 - >mhaq:WC39_11740 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#61 - >mhay:VK67_04035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	5.97268e-70	218.066	pfam07922	Glyco_transf_52	 - 	cl40640
Q#61 - >mhay:VK67_04035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	5.97268e-70	218.066	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#62 - >mhay:VK67_11745 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	287	2.91486e-42	146.804	pfam07922	Glyco_transf_52	 - 	cl40640
Q#62 - >mhay:VK67_11745 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	287	2.91486e-42	146.804	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#63 - >mvr:X781_6030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	17	276	2.20293e-67	211.133	pfam07922	Glyco_transf_52	 - 	cl40640
Q#63 - >mvr:X781_6030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	17	276	2.20293e-67	211.133	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#64 - >mvi:X808_15530 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	6.59818e-64	202.658	pfam07922	Glyco_transf_52	 - 	cl40640
Q#64 - >mvi:X808_15530 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	6.59818e-64	202.658	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#65 - >mvg:X874_14470 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	16	278	1.48871e-63	201.503	pfam07922	Glyco_transf_52	 - 	cl40640
Q#65 - >mvg:X874_14470 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	16	278	1.48871e-63	201.503	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#66 - >mvg:X874_3090 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	299	7.25867e-35	127.929	pfam07922	Glyco_transf_52	 - 	cl40640
Q#66 - >mvg:X874_3090 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	299	7.25867e-35	127.929	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#67 - >mve:X875_5550 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	3.72097e-64	203.429	pfam07922	Glyco_transf_52	 - 	cl40640
Q#67 - >mve:X875_5550 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	3.72097e-64	203.429	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#68 - >mann:GM695_10175 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	285	8.54082e-63	199.962	pfam07922	Glyco_transf_52	 - 	cl40640
Q#68 - >mann:GM695_10175 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	285	8.54082e-63	199.962	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#69 - >mgra:A4G16_01280 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	26	287	3.16361e-65	206.125	pfam07922	Glyco_transf_52	 - 	cl40640
Q#69 - >mgra:A4G16_01280 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	26	287	3.16361e-65	206.125	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#70 - >mgra:A4G16_01500 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	non-specific	400326	25	287	1.68345e-43	150.271	pfam07922	Glyco_transf_52	 - 	cl40640
Q#70 - >mgra:A4G16_01500 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) sialyltransferase (A)	superfamily	424271	25	287	1.68345e-43	150.271	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#71 - >asi:ASU2_01205 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	26	285	7.33977e-52	171.457	pfam07922	Glyco_transf_52	 - 	cl40640
Q#71 - >asi:ASU2_01205 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	26	285	7.33977e-52	171.457	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#72 - >asi:ASU2_10565 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	non-specific	400326	25	283	3.87274e-38	135.248	pfam07922	Glyco_transf_52	 - 	cl40640
Q#72 - >asi:ASU2_10565 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	superfamily	424271	25	283	3.87274e-38	135.248	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#73 - >ass:ASU1_01210 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	26	285	7.33977e-52	171.457	pfam07922	Glyco_transf_52	 - 	cl40640
Q#73 - >ass:ASU1_01210 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	26	285	7.33977e-52	171.457	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#74 - >aeu:ACEE_01065 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	26	285	3.23188e-55	180.317	pfam07922	Glyco_transf_52	 - 	cl40640
Q#74 - >aeu:ACEE_01065 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	26	285	3.23188e-55	180.317	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#75 - >aio:EXH44_08940 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	3.75854e-66	208.436	pfam07922	Glyco_transf_52	 - 	cl40640
Q#75 - >aio:EXH44_08940 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	3.75854e-66	208.436	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#76 - >bto:WQG_15680 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#76 - >bto:WQG_15680 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	2.48811e-57	185.709	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#76 - >bto:WQG_15680 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#76 - >bto:WQG_15680 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#76 - >bto:WQG_15680 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#77 - >btre:F542_6380 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#77 - >btre:F542_6380 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	2.48811e-57	185.709	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#77 - >btre:F542_6380 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#77 - >btre:F542_6380 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#77 - >btre:F542_6380 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#78 - >btrh:F543_7560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#78 - >btrh:F543_7560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	2.48811e-57	185.709	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#78 - >btrh:F543_7560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#78 - >btrh:F543_7560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#78 - >btrh:F543_7560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#79 - >btra:F544_16030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#79 - >btra:F544_16030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	2.48811e-57	185.709	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#79 - >btra:F544_16030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#79 - >btra:F544_16030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#79 - >btra:F544_16030 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	2.48811e-57	185.709	pfam07922	Glyco_transf_52	 - 	cl40640
Q#80 - >rhey:FEE42_11180 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	47	230	0.00134846	39.7188	pfam07922	Glyco_transf_52	C	cl40640
